",id,age,gender,region,income,married,children,car,save_act,current_act,mortgage,pl"
"0,ID12101,48,0,INNER_CITY,17546.0,0,1,0,NO,NO,NO,1"
"1,ID12102,40,1,TOWN,30085.1,1,3,1,NO,YES,YES,0"
"2,ID12103,51,0,INNER_CITY,16575.4,1,0,1,YES,YES,NO,0"
"3,ID12104,23,0,TOWN,20375.4,1,3,0,NO,YES,NO,0"
"4,ID12105,57,0,RURAL,50576.3,1,0,0,YES,NO,NO,0"
"5,ID12106,57,0,TOWN,37869.6,1,2,0,YES,YES,NO,1"
"6,ID12107,22,1,RURAL,8877.07,0,0,0,NO,YES,NO,1"
"7,ID12108,58,1,TOWN,24946.6,1,0,1,YES,YES,NO,0"
"8,ID12109,37,0,SUBURBAN,25304.3,1,2,1,NO,NO,NO,0"
"9,ID12110,54,1,TOWN,24212.1,1,2,1,YES,YES,NO,0"
"10,ID12111,66,0,TOWN,59803.9,1,0,0,YES,YES,NO,0"
"11,ID12112,52,0,INNER_CITY,26658.8,0,0,1,YES,YES,YES,0"
"12,ID12113,44,0,TOWN,15735.8,1,1,0,YES,YES,YES,1"
"13,ID12114,66,0,TOWN,55204.7,1,1,1,YES,YES,YES,1"
"14,ID12115,36,1,RURAL,19474.6,1,0,0,YES,YES,YES,0"
"15,ID12116,38,0,INNER_CITY,22342.1,1,0,1,YES,YES,YES,0"
"16,ID12117,37,0,TOWN,17729.8,1,2,0,NO,NO,YES,0"
"17,ID12118,46,0,SUBURBAN,41016.0,1,0,0,YES,NO,YES,0"
"18,ID12119,62,0,INNER_CITY,26909.2,1,0,0,YES,NO,NO,1"
"19,ID12120,31,1,TOWN,22522.8,1,0,1,YES,YES,NO,0"
"20,ID12121,61,1,INNER_CITY,57880.7,1,2,0,YES,NO,NO,1"
"21,ID12122,50,1,TOWN,16497.3,1,2,0,YES,YES,NO,0"
"22,ID12123,54,1,INNER_CITY,38446.6,1,0,0,YES,YES,NO,0"
"23,ID12124,27,0,TOWN,15538.8,0,0,1,YES,YES,YES,0"
"24,ID12125,22,1,INNER_CITY,12640.3,0,2,1,YES,YES,NO,0"
"25,ID12126,56,1,INNER_CITY,41034.0,1,0,1,YES,YES,YES,0"
"26,ID12127,45,1,INNER_CITY,20809.7,1,0,0,YES,YES,YES,0"
"27,ID12128,39,0,TOWN,20114.0,1,1,0,NO,YES,NO,1"
"28,ID12129,39,0,INNER_CITY,29359.1,0,3,1,NO,YES,YES,0"
"29,ID12130,61,1,RURAL,24270.1,1,1,0,NO,YES,NO,1"
"30,ID12131,61,0,RURAL,22942.9,1,2,0,YES,YES,NO,0"
"31,ID12132,20,0,TOWN,16325.8,1,2,0,YES,NO,NO,0"
"32,ID12133,45,1,SUBURBAN,23443.2,1,1,1,YES,YES,NO,1"
"33,ID12134,33,0,INNER_CITY,29921.3,0,3,1,YES,NO,NO,0"
"34,ID12135,43,1,SUBURBAN,37521.9,0,0,0,YES,YES,NO,1"
"35,ID12136,27,0,INNER_CITY,19868.0,1,2,0,YES,YES,NO,0"
"36,ID12137,19,1,RURAL,10953.0,1,3,1,YES,YES,NO,0"
"37,ID12138,36,0,RURAL,13381.0,0,0,1,NO,YES,NO,1"
"38,ID12139,43,0,TOWN,18504.3,1,0,1,YES,YES,NO,0"
"39,ID12140,66,0,SUBURBAN,25391.5,0,2,0,NO,YES,NO,0"
"40,ID12141,55,1,TOWN,26774.2,1,0,0,NO,YES,YES,1"
"41,ID12142,47,0,INNER_CITY,26952.6,1,0,1,NO,YES,NO,0"
"42,ID12143,67,1,TOWN,55716.5,0,2,1,YES,NO,NO,1"
"43,ID12144,32,0,TOWN,27571.5,1,0,1,NO,YES,YES,0"
"44,ID12145,20,1,INNER_CITY,13740.0,0,2,1,YES,YES,YES,0"
"45,ID12146,64,1,INNER_CITY,52670.6,1,2,0,YES,YES,YES,1"
"46,ID12147,50,0,INNER_CITY,13283.9,0,1,1,YES,YES,NO,1"
"47,ID12148,29,1,INNER_CITY,13106.6,0,2,0,YES,YES,YES,1"
"48,ID12149,52,1,INNER_CITY,39547.8,0,2,1,NO,YES,NO,1"
"49,ID12150,47,0,RURAL,17867.3,1,2,1,YES,NO,NO,0"
"50,ID12151,24,1,TOWN,14309.7,0,2,1,YES,NO,NO,0"
"51,ID12152,36,1,TOWN,23894.8,1,0,0,NO,NO,NO,0"
"52,ID12153,43,1,TOWN,16259.7,1,1,0,YES,YES,NO,1"
"53,ID12154,48,1,SUBURBAN,29794.1,0,1,0,YES,YES,NO,1"
"54,ID12155,63,1,TOWN,56842.5,1,0,0,YES,YES,YES,0"
"55,ID12156,52,0,RURAL,47835.8,0,3,0,YES,NO,NO,1"
"56,ID12157,58,0,INNER_CITY,24977.5,0,0,0,NO,YES,NO,1"
"57,ID12158,28,1,INNER_CITY,23124.9,1,0,0,YES,YES,NO,1"
"58,ID12159,29,0,INNER_CITY,15143.8,1,0,0,NO,YES,NO,0"
"59,ID12160,34,1,INNER_CITY,25334.3,0,1,1,YES,YES,YES,1"
"60,ID12161,42,0,INNER_CITY,24763.3,1,1,0,YES,YES,YES,1"
"61,ID12162,65,0,INNER_CITY,36589.0,0,1,1,NO,YES,NO,1"
"62,ID12163,47,1,INNER_CITY,27022.6,1,2,0,YES,YES,NO,0"
"63,ID12164,20,1,INNER_CITY,11700.4,1,0,0,YES,NO,NO,0"
"64,ID12165,21,1,TOWN,5014.21,0,0,1,YES,YES,YES,0"
"65,ID12166,42,1,INNER_CITY,17390.1,1,0,0,YES,YES,NO,0"
"66,ID12167,19,1,TOWN,10861.0,0,2,0,YES,YES,NO,0"
"67,ID12168,41,0,TOWN,34892.9,0,0,0,YES,YES,YES,0"
"68,ID12169,30,1,TOWN,19403.1,0,2,0,YES,YES,NO,0"
"69,ID12170,31,0,RURAL,10441.9,1,2,0,NO,YES,NO,1"
"70,ID12171,25,1,INNER_CITY,14064.9,1,3,1,YES,YES,NO,0"
"71,ID12172,21,1,INNER_CITY,8062.73,0,0,0,NO,YES,NO,1"
"72,ID12173,36,1,INNER_CITY,31982.0,1,3,1,YES,YES,YES,1"
"73,ID12174,58,0,INNER_CITY,23197.5,1,2,0,YES,NO,YES,0"
"74,ID12175,64,0,INNER_CITY,52674.0,0,2,1,YES,YES,NO,1"
"75,ID12176,59,0,RURAL,35610.5,0,2,1,NO,NO,NO,1"
"76,ID12177,45,0,TOWN,26948.0,0,0,0,YES,YES,YES,0"
"77,ID12178,61,1,INNER_CITY,49456.7,1,1,1,YES,YES,YES,1"
"78,ID12179,30,0,INNER_CITY,14724.5,1,0,1,NO,YES,NO,0"
"79,ID12180,58,0,TOWN,34524.9,1,2,1,YES,NO,NO,1"
"80,ID12181,50,0,TOWN,22052.1,0,3,0,YES,YES,NO,1"
"81,ID12182,30,1,INNER_CITY,27808.1,0,3,0,NO,YES,NO,0"
"82,ID12183,29,0,INNER_CITY,12591.4,1,1,0,YES,YES,NO,0"
"83,ID12184,35,1,INNER_CITY,16394.4,1,1,0,YES,YES,NO,1"
"84,ID12185,62,1,INNER_CITY,24026.1,1,0,0,NO,YES,YES,1"
"85,ID12186,36,1,INNER_CITY,31683.1,1,1,1,YES,YES,NO,1"
"86,ID12187,25,0,INNER_CITY,15525.0,1,0,0,YES,YES,NO,0"
"87,ID12188,66,0,TOWN,22562.2,0,0,1,YES,YES,YES,0"
"88,ID12189,30,1,SUBURBAN,15848.7,1,0,1,YES,NO,YES,0"
"89,ID12190,54,0,INNER_CITY,31095.6,1,2,0,NO,YES,NO,1"
"90,ID12191,37,1,TOWN,24814.5,1,1,1,NO,YES,YES,1"
"91,ID12192,28,0,INNER_CITY,25429.3,0,2,0,YES,YES,YES,0"
"92,ID12193,53,0,RURAL,34866.5,0,0,0,NO,YES,NO,1"
"93,ID12194,61,1,INNER_CITY,42579.1,1,2,1,YES,YES,NO,0"
"94,ID12195,61,0,INNER_CITY,41127.4,1,0,1,YES,NO,NO,0"
"95,ID12196,18,0,INNER_CITY,9990.11,1,0,0,YES,YES,NO,0"
"96,ID12197,22,1,INNER_CITY,7948.62,1,1,0,NO,NO,YES,0"
"97,ID12198,34,1,TOWN,30870.8,1,2,1,YES,YES,YES,1"
"98,ID12199,35,0,INNER_CITY,12125.8,0,2,0,YES,YES,NO,0"
"99,ID12200,18,0,RURAL,15348.9,1,0,1,NO,YES,NO,0"
"100,ID12201,54,1,INNER_CITY,26707.9,1,1,0,YES,YES,YES,1"
"101,ID12202,27,0,INNER_CITY,11604.4,1,2,1,YES,YES,NO,0"
"102,ID12203,42,1,INNER_CITY,15499.9,1,0,1,NO,YES,YES,1"
"103,ID12204,43,1,TOWN,33088.5,0,0,0,YES,YES,YES,0"
"104,ID12205,64,0,INNER_CITY,34513.6,1,1,0,YES,YES,NO,1"
"105,ID12206,43,1,TOWN,32395.5,1,3,1,YES,YES,NO,0"
"106,ID12207,49,1,RURAL,46633.0,1,0,1,YES,NO,NO,0"
"107,ID12208,23,1,INNER_CITY,13039.9,1,0,0,NO,YES,NO,0"
"108,ID12209,23,1,INNER_CITY,12681.9,0,0,0,YES,YES,NO,1"
"109,ID12210,30,0,INNER_CITY,24031.5,1,2,1,YES,YES,YES,0"
"110,ID12211,36,1,TOWN,37330.5,0,2,0,YES,YES,NO,1"
"111,ID12212,34,1,INNER_CITY,25333.2,1,3,1,NO,NO,YES,0"
"112,ID12213,51,0,INNER_CITY,37094.2,1,0,1,NO,YES,NO,0"
"113,ID12214,36,1,TOWN,33630.6,0,2,1,YES,YES,NO,1"
"114,ID12215,56,1,INNER_CITY,43228.2,1,1,1,YES,YES,NO,1"
"115,ID12216,54,0,INNER_CITY,47796.8,1,0,0,YES,YES,NO,0"
"116,ID12217,56,0,TOWN,21730.3,1,2,0,YES,NO,NO,0"
"117,ID12218,26,1,INNER_CITY,10044.1,1,3,0,YES,YES,YES,0"
"118,ID12219,39,1,TOWN,17270.1,0,0,1,NO,NO,NO,1"
"119,ID12220,64,0,RURAL,45765.0,1,3,1,YES,YES,NO,1"
"120,ID12221,46,1,RURAL,29525.5,0,2,0,YES,NO,YES,0"
"121,ID12222,62,0,RURAL,54863.8,1,1,1,YES,YES,NO,1"
"122,ID12223,36,0,TOWN,20799.0,1,1,0,YES,NO,YES,1"
"123,ID12224,35,0,RURAL,33028.3,0,1,0,YES,YES,NO,1"
"124,ID12225,47,1,RURAL,45031.9,0,3,1,YES,NO,NO,1"
"125,ID12226,47,1,INNER_CITY,39010.8,1,2,0,NO,YES,NO,1"
"126,ID12227,37,0,TOWN,25257.7,1,0,1,YES,YES,NO,0"
"127,ID12228,48,0,INNER_CITY,42603.9,1,0,0,YES,YES,NO,0"
"128,ID12229,41,1,TOWN,14092.7,1,3,1,YES,YES,NO,0"
"129,ID12230,27,0,RURAL,21350.3,0,0,1,YES,YES,NO,1"
"130,ID12231,43,1,INNER_CITY,23246.4,0,2,0,NO,YES,NO,0"
"131,ID12232,61,1,RURAL,41609.5,1,3,0,YES,YES,YES,0"
"132,ID12233,52,0,SUBURBAN,16716.1,0,2,1,YES,YES,NO,0"
"133,ID12234,64,0,SUBURBAN,36436.4,1,0,1,NO,YES,NO,0"
"134,ID12235,66,0,TOWN,59503.8,1,2,1,YES,YES,YES,1"
"135,ID12236,53,0,TOWN,31334.8,1,1,1,YES,YES,NO,1"
"136,ID12237,20,0,INNER_CITY,14048.9,1,2,1,NO,YES,YES,0"
"137,ID12238,57,0,INNER_CITY,39205.3,0,0,0,YES,YES,NO,1"
"138,ID12239,65,0,RURAL,42173.9,1,0,0,YES,YES,NO,0"
"139,ID12240,64,0,INNER_CITY,55263.0,0,1,0,YES,YES,NO,1"
"140,ID12241,52,1,INNER_CITY,37095.2,1,3,0,YES,YES,NO,0"
"141,ID12242,47,0,INNER_CITY,22791.4,1,0,0,NO,YES,NO,0"
"142,ID12243,28,0,TOWN,17240.6,1,1,1,NO,NO,YES,0"
"143,ID12244,64,1,TOWN,48974.8,1,0,1,YES,YES,YES,0"
"144,ID12245,25,1,INNER_CITY,18923.0,1,1,0,YES,YES,NO,1"
"145,ID12246,58,1,SUBURBAN,51204.2,1,0,0,YES,NO,YES,1"
"146,ID12247,34,1,TOWN,20236.2,1,2,1,NO,YES,NO,0"
"147,ID12248,20,0,INNER_CITY,18860.3,0,2,0,YES,YES,NO,0"
"148,ID12249,63,1,RURAL,25732.5,1,0,1,YES,NO,NO,0"
"149,ID12250,30,0,SUBURBAN,28240.4,1,3,1,YES,YES,NO,0"
"150,ID12251,53,1,RURAL,28193.6,1,1,1,YES,YES,NO,1"
"151,ID12252,43,1,TOWN,36432.8,0,2,1,NO,YES,NO,1"
"152,ID12253,63,1,TOWN,54618.8,1,2,0,YES,NO,YES,1"
"153,ID12254,33,1,INNER_CITY,24760.8,1,1,0,YES,YES,YES,1"
"154,ID12255,41,1,RURAL,23356.1,0,2,1,NO,NO,NO,0"
"155,ID12256,20,0,SUBURBAN,8143.75,1,2,0,YES,YES,NO,1"
"156,ID12257,50,1,TOWN,26462.5,1,0,1,YES,YES,NO,0"
"157,ID12258,24,1,RURAL,20467.3,1,2,1,YES,YES,NO,0"
"158,ID12259,60,0,TOWN,21506.2,1,0,0,NO,YES,NO,1"
"159,ID12260,44,0,TOWN,15315.3,1,1,0,YES,YES,NO,1"
"160,ID12261,23,1,INNER_CITY,18875.7,1,2,1,YES,YES,NO,0"
"161,ID12262,40,0,INNER_CITY,12977.2,1,0,0,NO,NO,NO,0"
"162,ID12263,49,0,TOWN,20708.5,0,3,0,NO,YES,NO,0"
"163,ID12264,21,0,TOWN,7549.38,0,1,1,NO,YES,NO,0"
"164,ID12265,40,0,INNER_CITY,24904.0,1,0,0,NO,NO,NO,0"
"165,ID12266,26,1,RURAL,24071.8,1,1,0,NO,YES,YES,1"
"166,ID12267,20,1,TOWN,9589.91,0,1,0,YES,YES,YES,0"
"167,ID12268,24,1,INNER_CITY,8562.86,0,1,0,NO,NO,YES,0"
"168,ID12269,37,0,TOWN,26707.5,0,0,1,YES,YES,NO,0"
"169,ID12270,56,1,INNER_CITY,34020.5,1,0,0,NO,YES,NO,0"
"170,ID12271,52,1,INNER_CITY,49175.7,1,0,1,YES,YES,NO,0"
"171,ID12272,22,1,INNER_CITY,19726.3,1,2,0,NO,YES,NO,0"
"172,ID12273,35,1,INNER_CITY,24346.6,1,3,1,YES,YES,NO,0"
"173,ID12274,34,1,RURAL,26999.4,1,1,1,YES,YES,NO,1"
"174,ID12275,67,0,TOWN,41558.1,1,2,0,YES,YES,NO,1"
"175,ID12276,58,0,INNER_CITY,56340.3,0,0,0,YES,YES,NO,1"
"176,ID12277,40,1,TOWN,37558.5,1,0,1,YES,YES,NO,0"
"177,ID12278,41,0,INNER_CITY,30099.3,1,0,1,YES,YES,YES,1"
"178,ID12279,43,1,INNER_CITY,15254.8,1,0,0,NO,NO,NO,1"
"179,ID12280,63,1,INNER_CITY,36086.1,1,2,0,NO,YES,NO,1"
"180,ID12281,22,0,INNER_CITY,17655.0,1,1,0,YES,YES,YES,1"
"181,ID12282,60,1,RURAL,56658.9,0,0,0,YES,YES,NO,1"
"182,ID12283,65,0,INNER_CITY,37706.5,0,0,1,YES,YES,YES,0"
"183,ID12284,48,0,INNER_CITY,18516.0,1,2,1,YES,YES,YES,0"
"184,ID12285,38,0,INNER_CITY,29622.0,0,0,1,YES,NO,YES,0"
"185,ID12286,49,1,RURAL,32669.9,1,1,1,YES,YES,YES,1"
"186,ID12287,20,0,INNER_CITY,18275.5,1,0,0,NO,NO,YES,1"
"187,ID12288,48,0,TOWN,34410.0,1,1,0,NO,YES,NO,1"
"188,ID12289,38,1,INNER_CITY,34866.9,1,2,1,NO,YES,YES,0"
"189,ID12290,41,0,INNER_CITY,21796.6,1,0,0,NO,YES,NO,0"
"190,ID12291,67,0,SUBURBAN,63130.1,1,2,1,YES,YES,NO,1"
"191,ID12292,39,1,INNER_CITY,14996.4,1,1,1,YES,NO,NO,0"
"192,ID12293,64,0,RURAL,49024.9,1,3,0,YES,YES,NO,1"
"193,ID12294,41,1,INNER_CITY,16249.8,1,0,1,NO,YES,YES,1"
"194,ID12295,55,1,SUBURBAN,36192.1,1,2,1,NO,YES,NO,1"
"195,ID12296,52,1,INNER_CITY,17839.9,1,1,0,YES,NO,YES,1"
"196,ID12297,30,0,INNER_CITY,18802.4,0,0,0,NO,YES,YES,1"
"197,ID12298,52,1,INNER_CITY,48720.3,1,2,1,YES,YES,NO,1"
"198,ID12299,26,1,INNER_CITY,14585.9,0,2,0,NO,YES,YES,0"
"199,ID12300,26,0,INNER_CITY,20819.0,1,0,0,YES,YES,NO,1"
"200,ID12301,46,1,TOWN,26077.8,1,1,1,YES,YES,NO,1"
"201,ID12302,46,0,TOWN,41627.1,1,0,0,YES,YES,YES,0"
"202,ID12303,52,1,INNER_CITY,16977.3,1,0,0,NO,YES,NO,0"
"203,ID12304,37,1,INNER_CITY,19012.8,0,3,1,NO,YES,NO,0"
"204,ID12305,22,1,INNER_CITY,12764.8,1,1,0,YES,YES,YES,1"
"205,ID12306,18,1,INNER_CITY,14388.6,0,0,1,NO,YES,YES,1"
"206,ID12307,63,1,INNER_CITY,59409.1,0,0,1,YES,YES,NO,1"
"207,ID12308,25,0,INNER_CITY,14960.2,1,0,0,YES,YES,YES,0"
"208,ID12309,67,1,INNER_CITY,39666.6,1,0,1,YES,YES,NO,0"
"209,ID12310,27,1,INNER_CITY,20771.9,0,0,0,YES,NO,NO,1"
"210,ID12311,61,1,INNER_CITY,24474.1,0,0,1,NO,NO,NO,1"
"211,ID12312,58,1,TOWN,33123.7,1,1,1,YES,YES,NO,1"
"212,ID12313,22,1,INNER_CITY,14433.4,1,0,1,YES,YES,NO,1"
"213,ID12314,28,1,TOWN,13175.5,0,1,0,NO,YES,NO,1"
"214,ID12315,23,1,INNER_CITY,9824.37,1,0,0,YES,YES,NO,0"
"215,ID12316,27,1,SUBURBAN,17610.3,1,0,0,YES,YES,NO,0"
"216,ID12317,27,0,SUBURBAN,15156.2,1,0,1,NO,YES,NO,0"
"217,ID12318,40,0,INNER_CITY,31774.1,1,3,1,YES,YES,YES,0"
"218,ID12319,39,1,TOWN,31693.5,0,0,1,YES,NO,NO,1"
"219,ID12320,35,0,INNER_CITY,28598.7,1,0,1,YES,YES,NO,0"
"220,ID12321,37,0,INNER_CITY,26261.7,0,2,1,NO,NO,NO,0"
"221,ID12322,47,1,INNER_CITY,42124.1,1,2,0,YES,YES,NO,1"
"222,ID12323,42,0,INNER_CITY,39308.7,1,1,0,YES,YES,NO,1"
"223,ID12324,67,0,INNER_CITY,43530.0,1,0,0,YES,YES,YES,0"
"224,ID12325,57,1,RURAL,49874.4,1,3,0,YES,YES,NO,1"
"225,ID12326,47,0,RURAL,27434.8,0,0,1,YES,YES,NO,1"
"226,ID12327,67,1,INNER_CITY,50474.6,1,2,1,YES,YES,NO,1"
"227,ID12328,56,1,TOWN,24888.2,0,0,0,YES,YES,NO,1"
"228,ID12329,37,1,RURAL,28021.6,0,0,1,NO,YES,YES,1"
"229,ID12330,27,1,INNER_CITY,12279.5,0,0,1,NO,NO,NO,1"
"230,ID12331,59,0,INNER_CITY,30189.4,1,0,1,NO,YES,YES,1"
"231,ID12332,31,1,INNER_CITY,28969.4,0,1,0,NO,YES,YES,0"
"232,ID12333,31,1,SUBURBAN,14058.5,1,0,0,NO,YES,YES,1"
"233,ID12334,32,0,TOWN,30404.3,1,0,1,YES,YES,NO,0"
"234,ID12335,57,0,RURAL,41438.2,0,3,0,YES,NO,NO,0"
"235,ID12336,49,0,INNER_CITY,16711.3,0,1,0,YES,YES,YES,1"
"236,ID12337,65,1,TOWN,52255.9,0,2,1,YES,YES,NO,1"
"237,ID12338,22,0,INNER_CITY,17866.9,1,2,0,YES,YES,YES,0"
"238,ID12339,26,0,RURAL,18067.5,1,2,0,YES,NO,NO,0"
"239,ID12340,23,1,INNER_CITY,12823.7,1,0,1,YES,YES,NO,0"
"240,ID12341,26,0,RURAL,11299.3,1,2,1,NO,NO,NO,0"
"241,ID12342,59,0,INNER_CITY,56031.1,0,0,1,YES,YES,NO,1"
"242,ID12343,67,1,INNER_CITY,35263.5,1,1,1,YES,YES,NO,1"
"243,ID12344,34,0,INNER_CITY,19968.1,1,0,1,YES,YES,NO,0"
"244,ID12345,50,1,RURAL,27825.5,1,2,1,YES,NO,NO,0"
"245,ID12346,46,1,SUBURBAN,37773.9,0,0,1,YES,YES,YES,0"
"246,ID12347,23,0,INNER_CITY,7606.25,0,3,1,NO,NO,NO,0"
"247,ID12348,26,1,RURAL,21384.4,1,0,0,NO,YES,NO,0"
"248,ID12349,40,1,TOWN,20347.0,1,3,0,YES,YES,NO,0"
"249,ID12350,36,1,TOWN,21332.3,1,3,1,NO,YES,NO,0"
"250,ID12351,65,1,INNER_CITY,57671.7,0,0,0,YES,YES,YES,0"
"251,ID12352,45,0,TOWN,36057.8,1,1,1,YES,YES,YES,1"
"252,ID12353,23,1,INNER_CITY,14290.5,1,2,0,NO,YES,YES,0"
"253,ID12354,42,0,TOWN,17882.9,1,1,0,NO,NO,NO,1"
"254,ID12355,21,0,RURAL,10629.1,0,3,0,YES,YES,YES,0"
"255,ID12356,62,0,INNER_CITY,24262.8,0,0,1,NO,YES,NO,1"
"256,ID12357,49,0,SUBURBAN,26097.9,0,2,0,YES,YES,NO,0"
"257,ID12358,28,0,TOWN,23371.0,1,2,0,NO,YES,YES,0"
"258,ID12359,38,0,TOWN,21495.6,0,3,0,NO,YES,YES,0"
"259,ID12360,36,1,TOWN,12166.9,0,0,0,NO,NO,NO,0"
"260,ID12361,22,1,SUBURBAN,17180.2,1,0,0,YES,YES,NO,0"
"261,ID12362,40,0,TOWN,28882.3,1,1,0,YES,YES,YES,1"
"262,ID12363,40,0,TOWN,21612.2,1,0,0,NO,YES,NO,0"
"263,ID12364,60,0,INNER_CITY,46358.4,1,0,1,YES,YES,YES,0"
"264,ID12365,23,1,INNER_CITY,19166.0,0,0,1,YES,NO,NO,1"
"265,ID12366,21,1,INNER_CITY,17921.8,1,1,1,NO,NO,NO,1"
"266,ID12367,58,1,TOWN,33229.0,0,0,1,YES,YES,NO,1"
"267,ID12368,48,0,SUBURBAN,30396.1,0,0,0,YES,YES,NO,1"
"268,ID12369,63,0,TOWN,34625.2,1,0,1,NO,YES,NO,0"
"269,ID12370,20,1,TOWN,16672.8,0,3,1,NO,YES,YES,0"
"270,ID12371,67,0,SUBURBAN,60747.5,0,2,0,YES,YES,YES,1"
"271,ID12372,62,0,INNER_CITY,56394.3,0,0,1,YES,YES,NO,1"
"272,ID12373,36,1,TOWN,13236.4,1,0,0,YES,YES,NO,0"
"273,ID12374,31,1,INNER_CITY,28409.4,1,1,1,NO,YES,NO,1"
"274,ID12375,42,0,INNER_CITY,27056.5,1,0,1,YES,YES,NO,0"
"275,ID12376,18,1,RURAL,9362.58,1,0,1,NO,YES,YES,1"
"276,ID12377,46,0,SUBURBAN,28702.7,0,1,0,YES,YES,YES,1"
"277,ID12378,25,1,TOWN,22366.1,1,1,1,YES,YES,NO,1"
"278,ID12379,65,0,RURAL,24477.5,0,0,0,YES,NO,YES,0"
"279,ID12380,40,1,TOWN,36972.4,1,1,0,NO,YES,YES,1"
"280,ID12381,32,1,INNER_CITY,22327.8,1,1,0,NO,NO,NO,1"
"281,ID12382,18,0,INNER_CITY,15610.2,1,0,0,YES,YES,NO,0"
"282,ID12383,64,1,INNER_CITY,54314.5,1,1,1,YES,NO,NO,1"
"283,ID12384,43,0,INNER_CITY,39175.8,1,3,0,YES,YES,YES,0"
"284,ID12385,22,0,INNER_CITY,13739.0,1,3,0,YES,YES,NO,0"
"285,ID12386,25,1,TOWN,9485.84,1,0,0,NO,NO,NO,0"
"286,ID12387,39,1,INNER_CITY,24675.7,1,1,1,YES,YES,YES,1"
"287,ID12388,58,0,INNER_CITY,28253.6,1,3,0,NO,YES,NO,0"
"288,ID12389,33,1,INNER_CITY,14136.5,1,1,0,YES,NO,NO,0"
"289,ID12390,52,0,RURAL,37162.1,1,1,1,YES,YES,NO,1"
"290,ID12391,23,1,INNER_CITY,13519.2,0,0,0,YES,YES,NO,1"
"291,ID12392,44,0,INNER_CITY,39253.6,0,0,1,YES,NO,NO,1"
"292,ID12393,51,1,RURAL,46323.8,1,2,1,YES,YES,YES,1"
"293,ID12394,26,0,TOWN,20950.7,1,0,0,YES,YES,NO,0"
"294,ID12395,42,1,TOWN,22495.7,1,0,0,YES,NO,YES,0"
"295,ID12396,34,1,TOWN,32548.9,1,0,1,YES,YES,YES,0"
"296,ID12397,54,0,RURAL,24583.4,0,2,1,YES,YES,YES,0"
"297,ID12398,18,1,RURAL,8639.24,1,2,0,NO,NO,NO,0"
"298,ID12399,47,0,INNER_CITY,17139.5,0,2,1,NO,YES,NO,0"
"299,ID12400,24,0,INNER_CITY,13667.7,1,0,0,YES,YES,NO,0"
"300,ID12401,19,0,INNER_CITY,8162.42,1,1,1,YES,YES,YES,0"
"301,ID12402,37,0,TOWN,15349.6,1,0,0,YES,NO,NO,0"
"302,ID12403,45,0,TOWN,29231.4,1,0,0,YES,NO,NO,0"
"303,ID12404,49,1,RURAL,41462.3,1,3,0,YES,YES,YES,0"
"304,ID12405,67,0,RURAL,57398.1,0,3,0,YES,YES,NO,1"
"305,ID12406,35,0,RURAL,11520.8,1,0,0,NO,YES,NO,0"
"306,ID12407,63,1,INNER_CITY,52117.3,0,2,1,YES,YES,NO,1"
"307,ID12408,38,1,RURAL,26281.4,0,0,1,YES,YES,NO,1"
"308,ID12409,48,1,TOWN,25683.4,0,2,1,YES,YES,NO,0"
"309,ID12410,28,0,INNER_CITY,11920.7,0,1,0,YES,YES,NO,0"
"310,ID12411,46,1,TOWN,30658.7,1,0,0,YES,YES,NO,0"
"311,ID12412,66,1,INNER_CITY,36646.4,0,1,0,YES,YES,NO,1"
"312,ID12413,61,0,TOWN,30760.4,0,2,1,NO,YES,NO,1"
"313,ID12414,18,0,RURAL,16109.9,0,2,1,YES,YES,NO,0"
"314,ID12415,54,0,TOWN,18036.7,1,0,1,YES,NO,NO,0"
"315,ID12416,45,1,RURAL,42628.3,0,0,1,YES,YES,YES,0"
"316,ID12417,60,1,INNER_CITY,22110.1,0,2,1,YES,YES,NO,0"
"317,ID12418,45,0,TOWN,37689.1,0,1,0,YES,YES,YES,1"
"318,ID12419,31,0,INNER_CITY,23171.8,0,2,0,YES,NO,NO,0"
"319,ID12420,39,1,SUBURBAN,21951.3,0,0,1,YES,YES,YES,0"
"320,ID12421,53,1,INNER_CITY,38103.4,0,2,1,YES,YES,NO,1"
"321,ID12422,35,1,RURAL,22882.9,1,0,1,NO,NO,YES,1"
"322,ID12423,25,0,TOWN,11043.7,1,1,1,YES,NO,YES,0"
"323,ID12424,32,1,TOWN,24027.6,0,0,0,YES,YES,NO,1"
"324,ID12425,36,1,SUBURBAN,28495.1,1,0,0,YES,YES,NO,0"
"325,ID12426,24,0,TOWN,9465.21,0,0,0,NO,YES,NO,1"
"326,ID12427,39,1,INNER_CITY,34852.3,1,1,0,YES,NO,YES,1"
"327,ID12428,24,1,INNER_CITY,21268.4,1,0,0,NO,YES,YES,1"
"328,ID12429,57,0,RURAL,50849.2,0,1,0,YES,NO,YES,1"
"329,ID12430,27,0,TOWN,18555.9,1,3,0,NO,YES,NO,0"
